ticker,snapshot_date,articles,scored_articles,pos_hits,neg_hits,sentiment,thin,top_positive,top_negative,eightk_30d,eightk_90d,eightk_365d,days_since_8k,pulled_at
AAPG,2026-09-21,0,0,0,0,0.0,True,,,0,0,0,,2026-09-21 23:52:28.683172
ABBV,2026-09-21,64,12,8,4,0.394,False,AbbVie lines up Qulipta expansion with phase 3 win in untapped menstrual migraine indication - Fierce Pharma,"AbbVie's blood cancer therapy lowers disease progression, death risk in trial - Reuters",1,5,15,18,2026-09-21 23:52:29.205154
ABCL,2026-09-21,10,0,0,0,0.0,True,,,0,6,16,39,2026-09-21 23:52:29.775971
ABOS,2026-09-21,14,0,0,0,0.0,True,,,1,2,10,5,2026-09-21 23:52:30.211161
ACET,2026-09-21,2,0,0,0,0.0,True,,,2,3,14,13,2026-09-21 23:52:30.801122
ACLX,2026-09-21,2,6,4,2,0.333,False,Arcellx (ACLX) Q4 2025 Earnings: Narrower-Than-Expected Loss as EPS Beats Estimates - Earnings Power Value - dars.gov.et,,,,,,2026-09-21 23:52:31.307236
ALDX,2026-09-21,2,2,0,2,-1.0,True,,"Aldeyra Therapeutics, Inc. (ALDX) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Investors to Contact the Firm to Learn More About the Investigation - ACCESS Newswire",0,2,11,53,2026-09-21 23:52:31.863310
ALGS,2026-09-21,10,2,2,0,1.0,True,Why is Aligos Therapeutics stock rallying 7% today? - Investing.com,,1,3,9,6,2026-09-21 23:52:32.313588
ALZN,2026-09-21,9,9,4,5,-0.193,False,ALZN Q2 2026 Earnings: Narrower-Than-Expected Loss Beats Consensus as Shares Dip - Post-Announcement Reaction - careplusvn.com,Alzamend Neuro Inc expected to post a loss of 23 cents a share - Earnings Preview - TradingView,0,2,9,49,2026-09-21 23:52:32.826118
AMGN,2026-09-21,82,29,10,19,-0.178,False,Amgen stock gains as FDA approval and price targets land - AD HOC NEWS,Amgen Falls 10% as Novartis Trial Failure Clouds a Cholesterol Drug Class; NVS Stock Drops 14% - Yahoo Finance,0,2,10,48,2026-09-21 23:52:33.748824
ANNX,2026-09-21,6,2,2,0,1.0,True,Annexon Reports Inducement Grants to New Employees Under Nasdaq Listing Rule 5635(c)(4) - Yahoo Finance,,0,4,12,40,2026-09-21 23:52:34.254214
ANRO,2026-09-21,3,0,0,0,0.0,True,,,1,4,12,25,2026-09-21 23:52:34.780578
APOG,2026-09-21,21,9,4,5,-0.009,False,AbbVie Completes Acquisition of Apogee Therapeutics - Yahoo Finance,"Apogee Therapeutics, Inc.(NasdaqGM: APGE) dropped from S&P TMI Index - marketscreener.com",2,6,15,7,2026-09-21 23:52:35.307687
ARDX,2026-09-21,31,11,0,11,-1.0,False,,Investors in Ardelyx face lawsuit over alleged misleading revenue guidance and stock drop. - Pluang,0,3,10,35,2026-09-21 23:52:35.884378
ARGX,2026-09-21,21,4,4,0,1.0,False,2 Wall Street Analysts Think Argenx Can Soar More Than 40%. Here's Why They're Right. - Yahoo Finance,,0,0,0,,2026-09-21 23:52:36.526908
ARVN,2026-09-21,8,3,1,2,-0.333,True,,"ARVN Q2 2026 Earnings: EPS Surges to $2.58 Against a Projected Loss, Though Shares Slip 2.18% - Earnings Deceleration Risk - careplusvn.com",0,2,16,48,2026-09-21 23:52:37.010981
ARWR,2026-09-21,30,2,2,0,1.0,True,Is Arrowhead Pharmaceuticals (ARWR) A Bargain On Strong ARO DIMER PA Trial Data? - simplywall.st,,0,1,10,48,2026-09-21 23:52:37.587734
ATOS,2026-09-21,5,2,0,2,-1.0,True,,"Atossa Therapeutics, Inc.(NasdaqCM: ATOS) dropped from S&P Global BMI Index - marketscreener.com",1,2,17,3,2026-09-21 16:43:53.559233
AVIR,2026-09-21,3,0,0,0,0.0,True,,,0,1,6,40,2026-09-21 23:52:37.993397
AVLN,2026-09-21,18,1,1,0,1.0,True,Avalyn Publishes Phase 1 Data Highlighting AP02’s Lung-Targeted Delivery and Encouraging Safety Profile - GlobeNewswire,,1,3,6,5,2026-09-21 23:52:38.687530
AXSM,2026-09-21,48,4,4,0,1.0,False,"Axsome Therapeutics, Inc. (AXSM) Stock Analysis: Promising 37% Upside Potential Amidst Strong Buy Ratings - DirectorsTalk Interviews",,0,2,13,42,2026-09-21 23:52:39.234529
AZN,2026-09-21,65,44,27,17,0.336,False,AstraZeneca (AZN) Wins FDA Approval for its Breast Cancer Pill After Regulators Voiced Doubts - Yahoo Finance,"AstraZeneca’s Etcamah flunks first-line breast cancer trial, adding to oral SERDs’ failure record - Fierce Pharma",0,0,0,,2026-09-21 23:52:39.925224
AZTR,2026-09-21,7,0,0,0,0.0,True,,,1,4,18,13,2026-09-21 16:43:56.050237
BBIO,2026-09-21,24,2,2,0,1.0,True,BridgeBio Pharma Reports Inducement Grants under Nasdaq Listing Rule 5635(c)(4) - The Manila Times,,1,6,18,21,2026-09-21 23:52:40.561034
BEAM,2026-09-21,23,8,6,2,0.303,False,Beam Therapeutics Targets Accelerated FDA Approval for Base-Editing Treatment - Yahoo Finance,BEAM Investors Have Opportunity to Join Beam Therapeutics Inc. Fraud Investigation with SBS Law - Business Wire,0,1,10,48,2026-09-21 23:52:41.330068
BFRI,2026-09-21,15,22,21,1,0.974,False,Biofrontera wins FDA approval for Ameluz to treat skin cancer - Investing.com,,1,2,15,7,2026-09-21 23:52:41.768548
BHVN,2026-09-21,8,3,0,3,-1.0,True,,Biohaven’s epilepsy drug hit with FDA clinical hold,2,5,14,11,2026-09-21 23:52:42.268135
BIIB,2026-09-21,28,10,7,3,0.508,False,Biogen (BIIB) Wins China Approval For At Home Weekly Alzheimer’s Treatment - simplywall.st,Biogen stock heads into the open after a 1.6 percent decline - AD HOC NEWS,0,2,14,54,2026-09-21 23:52:42.976119
BIOA,2026-09-21,4,3,0,3,-1.0,True,,"BIOAGE Labs Inc (BIOA) Risk Assessment: Volatility, Financial Risk & Investment Risk - TradingKey",0,1,9,47,2026-09-21 23:52:43.592655
BMEA,2026-09-21,9,3,2,1,-0.567,True,BMEA Surges 6.85%: Biomea Fusion Approaches Key $1.88 Resistance - Box Spread - careplusvn.com,"Biomea Fusion, Inc.(NasdaqGS: BMEA) dropped from S&P Global BMI Index - marketscreener.com",0,1,10,47,2026-09-21 16:44:00.375055
BMRN,2026-09-21,56,8,7,1,0.728,False,BioMarin Announces Positive Results of Phase 3 VOXZOGO® (vosoritide) Study in Hypochondroplasia Published in NEJM Evidence - PR Newswire,BioMarin drops Voxzogo development for Noonan syndrome as treatment landscape shifts - Fierce Pharma,4,7,22,6,2026-09-21 23:52:44.279010
BMY,2026-09-21,38,5,4,1,0.596,False,Bristol Myers Squibb Reports Positive Results for CAR T-Cell Therapy in Heavily Pretreated Multiple Myeloma - Cure Today,Bristol Myers Squibb (BMY) Declines More Than Market: Some Information for Investors - Yahoo Finance,0,1,9,53,2026-09-21 23:52:45.007162
BPRE,2026-09-21,0,0,0,0,0.0,True,,,0,2,2,45,2026-09-21 23:52:45.528157
BTAI,2026-09-21,45,12,1,11,-0.913,False,"Interim DIP Financing Approved for BioXcel Therapeutics, Inc. - marketscreener.com",BioXcel Therapeutics Received Notice of Delisting - TradingView,,,,,2026-09-21 23:52:46.099711
