drug_id,snapshot_date,ticker,catalyst_date,verdict,setup,conviction,evidence,pulled_at
4750492304405847,2026-09-21,SKM,2026-12-09,NO TRADE,NO_EDGE,4,,2026-09-21 23:09:48.681911
5478309507793443,2026-09-21,VIR,2026-12-31,NO TRADE,NO_EDGE,4,,2026-09-21 23:09:48.681911
6893534978263929,2026-09-21,GILD,2027-03-01,NO TRADE,NO_EDGE,3,,2026-09-21 23:09:48.681911
6985165070154027,2026-09-21,VERX,2027-02-02,NO TRADE,NO_EDGE,3,,2026-09-21 23:09:48.681911
12435896884885957,2026-09-21,ONC,2026-09-22,NO TRADE,NO_EDGE,6,,2026-09-21 23:09:48.681911
12595100049958644,2026-09-21,JAZZ,2026-09-30,BUY VOL,VOL_BUY_CHEAP,49,untested,2026-09-21 23:09:48.681911
16821003132661816,2026-09-21,AZN,2026-09-28,NO TRADE,NO_EDGE,4,,2026-09-21 23:09:48.681911
17304192090473818,2026-09-21,CORT,2026-09-01,NO TRADE,NO_EDGE,2,,2026-09-21 23:09:48.681911
18529572395977945,2026-09-21,PFE,2027-01-18,NO TRADE,NO_EDGE,1,,2026-09-21 23:09:48.681911
18971897866108208,2026-09-21,NVS,2026-11-03,NO TRADE,NO_EDGE,1,,2026-09-21 23:09:48.681911
36632223261958574,2026-09-21,GMAB,2026-09-01,NO TRADE,NO_EDGE,2,,2026-09-21 23:09:48.681911
38942477599780233,2026-09-21,INCY,2026-10-19,NO TRADE,NO_EDGE,1,,2026-09-21 23:09:48.681911
44000722375436180,2026-09-21,SBFM,2027-02-01,NO TRADE,NO_EDGE,2,,2026-09-21 23:09:48.681911
49060388678255386,2026-09-21,CL,2026-11-01,NO TRADE,NO_EDGE,1,,2026-09-21 23:09:48.681911
52490783581154249,2026-09-21,ZBIO,2026-09-01,NO TRADE,NO_EDGE,4,,2026-09-21 23:09:48.681911
61937648243034597,2026-09-21,PFE,2026-12-30,NO TRADE,NO_EDGE,0,,2026-09-21 23:09:48.681911
62357363534644698,2026-09-21,SUPN,2026-09-01,NO TRADE,NO_EDGE,1,,2026-09-21 23:09:48.681911
68315723041780208,2026-09-21,TLTFF,2026-12-01,NO TRADE,NO_EDGE,2,,2026-09-21 23:09:48.681911
68812751625955080,2026-09-21,NTHI,2026-12-30,SHORT,DILUTION_SHORT,52,supported,2026-09-21 23:09:48.681911
70897858954459972,2026-09-21,CORT,2026-09-01,NO TRADE,NO_EDGE,3,,2026-09-21 23:09:48.681911
81755227632725144,2026-09-21,VNDA,2026-12-12,LONG,BASE_RATE_LONG,29,weak,2026-09-21 23:09:48.681911
84144411003217329,2026-09-21,QNRX,2027-01-31,NO TRADE,NO_EDGE,5,,2026-09-21 23:09:48.681911
86021429154612346,2026-09-21,BBIO,2026-11-27,NO TRADE,NO_EDGE,10,,2026-09-21 23:09:48.681911
86431631212664264,2026-09-21,HAFC,2027-01-01,NO TRADE,NO_EDGE,2,,2026-09-21 23:09:48.681911
93055653804308969,2026-09-21,EWTX,2027-03-01,SHORT,DILUTION_SHORT,19,supported,2026-09-21 23:09:48.681911
102950193952033246,2026-09-21,IMUX,2026-11-01,NO TRADE,NO_EDGE,4,,2026-09-21 23:09:48.681911
108742177283748398,2026-09-21,NVS,2026-12-14,NO TRADE,NO_EDGE,4,,2026-09-21 23:09:48.681911
109107024871452838,2026-09-21,NVS,2026-10-15,NO TRADE,NO_EDGE,4,,2026-09-21 23:09:48.681911
114043394592637061,2026-09-21,SNY,2026-12-17,NO TRADE,NO_EDGE,3,,2026-09-21 23:09:48.681911
114931543863814183,2026-09-21,NVO,2027-01-25,NO TRADE,NO_EDGE,1,,2026-09-21 23:09:48.681911
115726789842540791,2026-09-21,AVIR,2026-09-01,NO TRADE,NO_EDGE,3,,2026-09-21 23:09:48.681911
118831260866524826,2026-09-21,GNLX,2027-02-01,NO TRADE,NO_EDGE,3,,2026-09-21 23:09:48.681911
121453500802276973,2026-09-21,LLY,2026-12-01,NO TRADE,NO_EDGE,2,,2026-09-21 23:09:48.681911
130129402136981756,2026-09-21,SNY,2027-02-17,NO TRADE,NO_EDGE,1,,2026-09-21 23:09:48.681911
131984470820949352,2026-09-21,QNRX,2026-12-30,NO TRADE,NO_EDGE,5,,2026-09-21 23:09:48.681911
133989152738883371,2026-09-21,AZN,2026-10-27,NO TRADE,NO_EDGE,4,,2026-09-21 23:09:48.681911
139073196904481915,2026-09-21,CORT,2026-10-01,NO TRADE,NO_EDGE,2,,2026-09-21 23:09:48.681911
140633044982783524,2026-09-21,NUVB,2027-03-01,NO TRADE,NO_EDGE,5,,2026-09-21 23:09:48.681911
140803669361580050,2026-09-21,KARD,2026-12-01,NO TRADE,NO_EDGE,3,,2026-09-21 23:09:48.681911
140955454411638517,2026-09-21,DSGN,2026-09-01,NO TRADE,NO_EDGE,3,,2026-09-21 23:09:48.681911
142592189318773647,2026-09-21,CRBP,2027-01-16,NO TRADE,NO_EDGE,9,,2026-09-21 23:09:48.681911
145723300535647550,2026-09-21,REGN,2026-11-13,NO TRADE,NO_EDGE,4,,2026-09-21 23:09:48.681911
158337973585919400,2026-09-21,RNAC,2026-12-30,NO TRADE,NO_EDGE,2,,2026-09-21 23:09:48.681911
160374961716568031,2026-09-21,SKBBY,2026-12-01,NO TRADE,NO_EDGE,0,,2026-09-21 23:09:48.681911
160386940021573862,2026-09-21,ONC,2026-11-01,NO TRADE,NO_EDGE,3,,2026-09-21 23:09:48.681911
160960760728085426,2026-09-21,DSGN,2026-12-01,NO TRADE,NO_EDGE,5,,2026-09-21 23:09:48.681911
161771317641149346,2026-09-21,DBVT,2026-11-01,NO TRADE,NO_EDGE,3,,2026-09-21 23:09:48.681911
164008216372829958,2026-09-21,PFE,2026-12-02,NO TRADE,NO_EDGE,0,,2026-09-21 23:09:48.681911
165094879933787161,2026-09-21,AMGN,2026-12-14,NO TRADE,NO_EDGE,0,,2026-09-21 23:09:48.681911
166743087750950943,2026-09-21,IBO,2026-12-31,SHORT,DILUTION_SHORT,28,supported,2026-09-21 23:09:48.681911
173523452596540229,2026-09-21,IDYA,2027-01-29,NO TRADE,NO_EDGE,7,,2026-09-21 23:09:48.681911
174695383932404981,2026-09-21,LLY,2027-03-01,NO TRADE,NO_EDGE,2,,2026-09-21 23:09:48.681911
176871108208680696,2026-09-21,CLDX,2026-10-01,NO TRADE,NO_EDGE,3,,2026-09-21 23:09:48.681911
178337141707374965,2026-09-21,BMY,2026-10-06,NO TRADE,NO_EDGE,1,,2026-09-21 23:09:48.681911
182380289812789285,2026-09-21,AZN,2026-11-11,NO TRADE,NO_EDGE,0,,2026-09-21 23:09:48.681911
190161362620674117,2026-09-21,SHNTY,2026-12-31,NO TRADE,NO_EDGE,2,,2026-09-21 23:09:48.681911
202086486643127814,2026-09-21,SRRK,2026-11-01,BUY VOL,VOL_BUY_CHEAP,34,untested,2026-09-21 23:09:48.681911
205733232054228160,2026-09-21,AMGN,2026-10-31,NO TRADE,NO_EDGE,4,,2026-09-21 23:09:48.681911
